,average_score_wikipedia,average_score_matched,percent_matched,average_score_unmatched,numb_matched,numb_unmatched,counts
actress,5.75739247311828,12.053370786516854,0.239247311827957,3.777385159010601,356,1132,"{'actress': 0, 'actor': 6}"
actor,3.3565714285714288,3.9444444444444446,0.02057142857142857,3.3442240373395564,18,857,"{'actress': 66, 'actor': 0}"
hostess,4.103004291845494,7.222222222222222,0.03862660944206009,3.9776785714285716,9,224,"{'hostess': 0, 'host': 0}"
host,4.038095238095238,9.555555555555555,0.03428571428571429,3.842209072978304,18,507,"{'hostess': 0, 'host': 0}"
comedienne,7.62962962962963,,0.0,7.62962962962963,0,54,"{'comedienne': 0, 'comedian': 7}"
comedian,4.877551020408164,10.0,0.19727891156462585,3.6186440677966103,29,118,"{'comedienne': 0, 'comedian': 0}"
barmaid,2.0,,0.0,2.0,0,3,"{'barmaid': 0, 'barkeeper': 0, 'bartender': 0, 'barman': 0}"
bartender,1.3333333333333333,,0.0,1.3333333333333333,0,3,"{'barmaid': 0, 'barkeeper': 0, 'bartender': 0, 'barman': 0}"
landlady,5.571428571428571,,0.0,5.571428571428571,0,7,"{'landlady': 0, 'landlord': 0}"
landlord,2.4285714285714284,,0.0,2.4285714285714284,0,14,"{'landlady': 0, 'landlord': 0}"
policewoman,3.0,,0.0,3.0,0,16,"{'policewoman': 0, 'policeman': 0, 'police officer': 1}"
policeman,1.5,,0.0,1.5,0,2,"{'policewoman': 0, 'policeman': 0, 'police officer': 0}"
police officer,2.0660377358490565,1.6,0.09433962264150944,2.1145833333333335,10,96,"{'policewoman': 0, 'policeman': 0, 'police officer': 0}"
businesswoman,4.182170542635659,9.488372093023257,0.16666666666666666,3.1209302325581394,43,215,"{'businesswoman': 0, 'businessperson': 2, 'businessman': 2}"
businessperson,2.0742857142857143,,0.0,2.0742857142857143,0,175,"{'businesswoman': 9, 'businessperson': 0, 'businessman': 0}"
businessman,1.6666666666666667,3.0,0.027777777777777776,1.6285714285714286,1,35,"{'businesswoman': 0, 'businessperson': 0, 'businessman': 0}"
saleswoman,2.3333333333333335,,0.0,2.3333333333333335,0,3,"{'saleswoman': 0, 'salesperson': 0, 'salesman': 0}"
salesperson,2.5,,0.0,2.5,0,2,"{'saleswoman': 0, 'salesperson': 0, 'salesman': 0}"
salesman,4.0,,0.0,4.0,0,1,"{'saleswoman': 0, 'salesperson': 0, 'salesman': 0}"
mail carrier,5.0,,0.0,5.0,0,1,"{'mailwoman': 0, 'mail carrier': 0, 'postal worker': 0, 'mailman': 0}"
crew member,3.0,,0.0,3.0,0,3,"{'crewwoman': 0, 'crew member': 0, 'crewman': 0}"
waitress,4.833333333333333,,0.0,4.833333333333333,0,6,"{'waitress': 0, 'server': 0, 'waiter': 0}"
waiter,1.0,,0.0,1.0,0,1,"{'waitress': 0, 'server': 0, 'waiter': 0}"
stewardess,5.25,17.0,0.25,1.3333333333333333,1,3,"{'stewardess': 0, 'flight attendant': 0, 'steward': 0}"
steward,4.0,2.8333333333333335,0.375,4.7,6,10,"{'stewardess': 0, 'flight attendant': 0, 'steward': 0}"
priest,1.0,,0.0,1.0,0,2,"{'clergywoman': 0, 'priest': 0, 'clergyman': 0}"
clergyman,2.25,,0.0,2.25,0,4,"{'clergywoman': 0, 'priest': 0, 'clergyman': 0}"
firefighter,1.4444444444444444,2.0,0.1111111111111111,1.375,1,8,"{'firewoman': 0, 'firefighter': 0, 'fireman': 0}"
server,3.5789473684210527,,0.0,3.5789473684210527,0,19,"{'waitress': 0, 'server': 0, 'waiter': 0}"
seamstress,2.925,,0.0,2.925,0,40,"{'seamstress': 0, 'sewist': 0}"
flight attendant,5.909090909090909,9.428571428571429,0.21212121212121213,4.961538461538462,7,26,"{'stewardess': 0, 'flight attendant': 0, 'steward': 0}"
headmistress,1.2765957446808511,2.0,0.02127659574468085,1.2608695652173914,1,46,"{'headmistress': 0, 'headteacher': 0, 'headmaster': 0}"
headteacher,1.4285714285714286,2.0,0.14285714285714285,1.3333333333333333,1,6,"{'headmistress': 0, 'headteacher': 0, 'headmaster': 0}"
headmaster,3.0,,0.0,3.0,0,1,"{'headmistress': 0, 'headteacher': 0, 'headmaster': 0}"
weathergirl,1.0,,0.0,1.0,0,1,"{'weathergirl': 0, 'meteorologist': 0, 'weather forecaster': 0, 'weatherman': 0}"
meteorologist,2.4225352112676055,2.176470588235294,0.23943661971830985,2.5,17,54,"{'weathergirl': 0, 'meteorologist': 0, 'weather forecaster': 2, 'weatherman': 0}"
weather forecaster,1.2142857142857142,1.0,0.07142857142857142,1.2307692307692308,1,13,"{'weathergirl': 0, 'meteorologist': 0, 'weather forecaster': 0, 'weatherman': 0}"
anchorwoman,2.923076923076923,,0.0,2.923076923076923,0,26,"{'anchorwoman': 0, 'news anchor': 2, 'anchorman': 0}"
news anchor,2.1125827814569536,2.5,0.10596026490066225,2.066666666666667,32,270,"{'anchorwoman': 0, 'news anchor': 0, 'anchorman': 0}"
camerawoman,1.3333333333333333,,0.0,1.3333333333333333,0,3,"{'camerawoman': 0, 'camera operator': 0, 'cameraman': 0}"
camera operator,3.5,,0.0,3.5,0,4,"{'camerawoman': 0, 'camera operator': 0, 'cameraman': 0}"
cameraman,2.3333333333333335,,0.0,2.3333333333333335,0,3,"{'camerawoman': 0, 'camera operator': 0, 'cameraman': 0}"
chairwoman,3.9047619047619047,5.0,0.007936507936507936,3.896,1,125,"{'chairwoman': 0, 'chairperson': 0, 'chairman': 0}"
chairperson,3.64021164021164,,0.0,3.64021164021164,0,189,"{'chairwoman': 1, 'chairperson': 0, 'chairman': 0}"
chairman,2.3284671532846715,9.0,0.01824817518248175,2.204460966542751,5,269,"{'chairwoman': 1, 'chairperson': 0, 'chairman': 0}"
stuntwoman,4.2075471698113205,7.75,0.07547169811320754,3.9183673469387754,4,49,"{'stuntwoman': 0, 'stuntperson': 0, 'stuntman': 0}"
stuntman,1.0,,0.0,1.0,0,3,"{'stuntwoman': 0, 'stuntperson': 0, 'stuntman': 0}"
